TIPLOC,Geography Description
MOTHBOS,Motherwell
TWNYDPL,Towney Loop
THEA834,Theale Signal T2834
THEA831,Theale Signal T2831
MOTH374,Motherwell Sig 374
THEAPUM,Theale Puma Gbrf
THEALHC,Theale Hope Cement
THEAGBR,Theale Lafarge Gbrf
MOTH185,Motherwell
MOTHSGL,Motherwell Station Goods Loop
MOTH267,Motherwell
MOTH368,Motherwell Sig M368
MOTHRPT,Motherwell Repair Point
MOTHDRS,Motherwell Tmd (Drs)
BCST210,Bicester Sig Me210
BCST024,Bicester Sig Ob9024
BCST794,Bicester Sig Ob1794
BCST792,Bicester Sig Ob1792
BCST032,Bicester Sig Me2032
BCSTGJN,Bicester Gavray Junction
BCSTSJ,Bicester South Junction
BCSTDWJ,Bicester Depot West Jn
BCSTDRL,Bicester Depot-Gl-Rr
BCSTDEJ,Bicester Depot East Jn
BCSTGBF,Bicester Mod Gbrf
HINKREC,Hinksey Reception Lines
OXFDUDP,Oxford Up & Dn Passenger
OXFDSY,Br South Yard
OXFDUPL,Oxford Down/Up Passenger Loop
OXFD90,Oxford Signal Ox90
OXFPWAY,Oxford Parkway
KNNGGLP,Kennington Goods Loops
OXFD121,Oxford Signal Ox121
OXFDX26,Oxford Signal 26
OXFDWMS,Oxford West Midlands Sdgs
OXFDWRJ,Woodstock Road Junction
OXFP770,Oxford Parkway Sig 1770
APPLEGB,Appleford Sdgs (Gbrf)
DIDCPSG,Didcot Power Station Gbrf
DIDCMSF,Didcot Milton Sdg Fl
DIDCLHS,Didcot Lhs
DIDCPSD,Didcot Power Station D&C
DIDC207,Didcot Sig. Sb2207
RDNGHLJ,Reading High Level Jn
RDNG732,Reading Sig. T1732
RDNG728,Reading Sig. T1728
RDNG726,Reading Sig. T1726
RDNG716,Reading Sig. T1716
RDNG804,Reading Sig T2804
RDNG714,Reading Sig. T1714
RDNGTRS,Reading Triangle Sidings
RDNGTCC,Reading Depot Entry C
RDNG691,Reading Signal Tr1691
RDNGTCD,Reading Traincare Depot
RDNGSTJ,Reading Southern Jn
RDNG524,Reading Sig. Tr524
RDNGTCA,Reading Depot Entrance A
RDNGMLW,Reading Main Line West
RDNGKBJ,Kennet Bridge Jn
RDNG545,Reading Signal Tr545
UDNGCLR,Viewpark Colas Rail
NWTLEJ,Newton East Jn
TWYF112,Twyford Sig Tr112
TWYF632,Twyford Sig T1632
MOSEGBR,Mossend Euroterminal Gbrf
SLOUSPL,Slough Stoke Poges Lane
WSBRNRJ,Westbourne Road Junction
SLOU161,Slough Sig S161
CNBKCRR,Colnbrook Colas Rail
CNBKGBR,Colnbrook Lafarge
STKYJN,Stockley Junction
WDRYGBF,West Drayton T.C. Gbrf
MOSENXT,Mossend North Exit
BRNTFDT,Brentford Town
MOSEDGL,Mossend
BRNTGBF,Brentford Town Days Gbrf
STHASTE,Westinghouse Siding S&Te
MOSETMD,Mossend Tmd
MSSNDET,Mossend Down Yard Gbrf
MOSEDFH,Mossend Down Sidings
MOSEUFH,Mossend Up Reception
PRIN171,Princes Risborough Me171
PLMDUC,Polmadie Up Clydesdale
SRUI76,South Ruislip Me76
WRUIGJN,Ruislip Gardens Junction
SRUI67R,South Ruislip Sig Me67R
PLMDDC,Polmadie Down Clydesdale
CMBR654,Cumbernauld Sig Cn654
CLDRCXO,Caldercruix Crossover
CLDRCRX,Caldercruix
BTHG031,Bthg031
BTHGCSD,Bathgate Lmd
BTHGEJ,Bathgate East Jn
BLKRDGE,Blackridge
HANWBSG,Hanwell Bridge Sidings
WEALEMU,West Ealing Emu Sidings
ACTOLHS,Acton Loco Holding Sidings
ARMDALE,Armadale
ACTOEWS,Acton Yard (Ews)
OLDOENG,Old Oak Common Engine Sdg
DRM5025,Drumgelloch Sig En5025
OLDOCWM,Ooc Carriage Wash
OLDOXDP,Old Oak Common Depart Sig
OLDOXAR,Old Oak Common Arrival Sig
OLDOXRS,Old Oak Depot
OLDOCCL,Old Oak Carriage Line
DRM5026,Drumgelloch Sig En5026
NPLEIEP,North Pole Iep Depot
FRNDFST,Fisher St East
TOTCFST,Fisher St West
TOTCTRD,Tottenham Court Road
BONDST,Bond Street
ROYAPTL,Royal Oak Portal (Dbc)
ROYAOJN,Royal Oak Junction
KENSLGS,C H S
KENGCRL,Kensal Green East Crl
PRTOBJP,Portobello Jn
ROYAHSH,Royal Oak Headshunt
PADTLL,Paddington Xrail
PADTLNK,Paddington Link Line
PADTBAL,Paddington Ballast Trains
PADTON,Paddington London
LINKLIN,Link Line <Paddington>
BRIDRP,Bridgeton Rp Gbrf
BRIDGBR,Bridgeton Yard Gbrf
GLGCSD5,Glasgow Central
GLGCSD3,Glasgow Central
GLGCSD4,Glasgow Central
GLGCSD1,Glasgow Central N0.1 Sdg
PLMD818,Polmadie Sig 818
PLMD779,Polmadie Signal 779
PLMD789,Polmadie Signal 789
CMDN052,Camden Signal Nl1052
GOSP304,Gospel Oak Signal 1304
GOSP306,Gospel Oak Sig Nl 1306
PLMD787,Polmadie Signal 787
CMDN200,Camden Signal Nl1200
GOSP100,Gospel Oak Sig Nl1000
CMDN202,Camden Road Jn Signal 1202
CMDNRCJ,Camden Road Central Jn
GOSP500,Gospel Oak Signal Go500
EUST284,Euston Sig Wm284
EUSTNHS,L H S
EUST104,Euston Sig Wm104
EUST102,Euston Sig Wm102
CMDNDTS,Camden Jn Down Through Sdgs
EUST286,Euston Sig Wm286
EUST308,Euston Sig Wm308
EUST310,Euston Sig Wm310
EUST473,Euston Sig Wm473
EUST488,Euston Sig Wm488
EUST501,Euston Sig Wm501
EUST510,Euston Sig Wm510
EUST512,Euston Sig Wm512
EUST610,Euston Sig Wm610
EMBKMNT,Embankment Lt
TERM182,Terminus Curve Sig 5182
CMDN801,Camden Jn Signal Wm801
QURY187,Quarry Sig T187
WBRNPKS,Westbourne Park Cs
WLSDLUC,Willesden Jn Ll Up Emu C-O
WLSDLDC,Willesden Jn Ll Dn Emu C-O
WLSD303,Willesden Signal 303
WLSDLLB,Low Level Bay
WLSDNJL,Willesden Junction Low Level
WLSDJHT,Willesden Jn Hl Turnback
WLSDHLJ,Willesden H.L.J.
WLSDH48,Willesden Jn Hl Sig Nl 1048
ACWL105,Acton Wells Signal Aw105
ACWL150,Acton Wells Jn Sig Aw150
ACWL149,Acton Wells Jn Sig Aw149
WBRNGBF,Westbourne Park (Gbrf)
BRNSSDG,Barons Court Lay By Siding
BRNSTLT,Barons Court Lt
HAMDLUL,Hammersmith Lt
WLSD811,Willesden Signal Wm811
NPLETB,North Pole Turnback Siding
WLSD41,Willesden No. 41 Signal
WLSDNBJ,Ny (Sudbury Sidings)
WLSDDST,Distillers M.G.
WLSD2DT,Ny (Brent No 2 D T S)
WLSDBFL,Willesden Brent Sdgs (Fl)
WLSDFFG,Willesden Ferrous Frag. Gbrf
WLSDETG,Willesden Euroterminal Gbrf
WLSDDCR,Willesden Dc Rail Sidings
LCHRDGJ,Lochridge Junction
WMBY190,Wembley Yard Signal 190
WMBY145,Wembley Yard Signal 145
WMBYNY7,Wembley Ny No 7 Road
WMBYNY6,Wembley Ny No 6 Road
WMBYNY5,Wembley Ny No 5 Road
WMBYNY4,Wembley Ny No 4 Road
WMBYNY3,Wembley Ny No 3 Road
WMBYNY2,Wembley Ny No 2 Road
WMBYNY1,Wembley Ny No 1 Road
WMBYLCS,Wembley C Sidings Lorol
WMBYBNJ,Brent Jn
WMBYCSL,Wembley Traincare Carriage Sdg
WMBYWLF,Wembley Traincare Wheel Lathe
HESRJN,Helen Street Jn
GWSTJN,Gower Street Jn
IBROXJN,Ibrox Jn
WMBYDRR,Wembley Signals Wm827/829
WMBYURR,Wembley Signals Wm929/931
SHLDNO1,Shields Jn No.1 Line
CALAFCR,Calais Frethun Colas Rail
ARKL025,Arkleston Signal 6025
ARKL023,Arkleston Signal 6023
ARKL021,Arkleston Signal 6021
ARKLSTE,Arkleston East
ARKLSTW,Arkleston West
ELDR143,Elderslie Sig Pe143
CALAFGB,Frethun (Gbrf)
ELDRFLT,Elderslie (Fliner)
WATFDGB,Watford London Concr Gbrf
BORN412,Bourne End Signal Wt1412
BORN419,Bourne End Signal Wt1419
BORN414,Bourne End Signal Wt1414
BORN421,Bourne End Signal Wt1421
HEMLBMS,Hemel Hempstead Boxmoor Sdgs
MRSLSTC,Marseille St Charles
DNSDCPG,Deanside C.P.A Gbrf
TRING25,Tring Sig Wt1425
GTMS769,Great Missenden Sig Me769
AYLSVJN,Aylesbury Vale Junction
AYLS792,Aylesbury Sig Me792
AYLS302,Aylesbury Sig Me302
AYLSBCH,Aylesbury Branch Sdg
CALVTDC,Calvert Waste Terminal D&C
CALVGBR,Calvert Gbrf
CALVNGF,Calvert North Gf
LEDB426,Ledburn Signal Tk1426
LEDB428,Ledburn Signal Tk1428
LEDB433,Ledburn Signal Tk1433
BLTCDRJ,Bletchley Drayton Road Jn
BLTCFJN,Bletchley Flyover Jn
BLTCWER,Bletchley Water Eaton Rd
NMPT216,Northampton Sinal Ry1216
NMPTCYG,Northampton Castle Yrd Gbf
NMPTNTC,Northampton Terminal Complex
NMPTNUS,Northampton Tc Up Sidings
DIRFFHH,Daventry Fhh
DIRFDR2,Daventry Drs (Tesco)
DIRFEP2,Daventry Reception Sdgs (Ep2)
RUGB304,Rugby Signal Rc9304
RUGB179,Rugby Signal Rn4179
RUGB671,Rugby Signal Rn9671
RUGB669,Rugby Signal Rn9669
RUGB655,Rugby Signal Kr9655
RUGB653,Rugby Signal Kr9653
RUGB649,Rugby Signal Kr9649
RUGB310,Rugby Signal Rc9310
RUGB171,Rugby Signal Nr9171
RUGB165,Rugby Signal Nr9165
RUGBCSF,Rugby Carriage Sidings (Fl)
RUGB117,Rugby Signal Rn9177
RUGB368,Rugby Signal Rn5368
RUGB184,Rugby Udt Signal Rn4184
RUGB182,Rugby Ugl Signal Rn4182
RUGB370,Rugby Signal Rn3370
RUGBDAL,Rugby Depot Access Line
RUGBEWS,Rugby New Bilton Dbc
RUGBRTR,Rugby Rtr Depot
RUGB363,Rugby Signal Nr5363
BCST192,Bicester Nth Sig 192
BCST189,Bicester Nth Sig 189
BCSTES,Bicester North Engineer Sdg
BNBRRS,Reservoir Sidings
AYNH502,Aynho Sig Bs5002
AYNHPKJ,Aynho Park Junction
BNBRRN,Reservoir Neck
BNBRRJN,Reservoir Junction
BNBR743,Banbury Signal Ol7143
BNBR734,Banbury Signal Ol7134
BNBRDGL,Banbury Down Goods Loop
BNBR09,Banbury Signal 9
BNBRCAT,Banbury Cattle Rd Sidings
BNBR12,Banbury Signal 12
BNBR21,Banbury Signal 21
BNBR32,Banbury Signal Bs32
BNBRNJ,Banbury North Junction
BNBRDR,Banbury Depot Reception
BNBRDJ,Banbury Depot Jn
FENN715,Fenny Compton Sig. Ol7150
BNBRDPT,Banbury Depot
KINESD3,Kineton Sidings 3
KINESD2,Kineton Sidings 2
KINESD1,Kineton Sidings 1
KINEJN,Kineton Jn
FENYSJN,Fenny Compton South Jn
KINEGBF,Kineton Mod Gbrf
FENYDGL,Fenny Compton Dn Goods Lp
KENLSTN,Kenilworth
LMNGSD4,Leamington Spa Plt 4 Sdg
LMNGDDS,Leamington Spa Down Dock
LMNG128,Leamington Spa Signal 128
LMNG126,Leamington Spa Signal 126
LMNG113,Leamington Spa Signal 113
COVN538,Coventry Sig Cn1538
COVN532,Coventry Sig Cb1532
COVN517,Coventry Sig Lc6517
COVAREN,Coventry Arena
BEDWPUM,Bedworth Puma Gbrf
BERMPRK,Bermuda Park
NNTNCHC,Nuneaton Chilvers Coton Jn
NNTN433,Nuneaton Sig Rn5433
NNTNMYJ,Nuneaton Midland Yard Jn
NNTNANJ,Canal Farm Junction
ATLB431,Attleborough Jn Sig Rn3431
ATLB533,Attleborough Jn Sig Rn9533
NNTN226,Nuneaton Signal Nw4226
NNTN261,Nuneaton Sig. Wn1261
NNTN223,Nuneaton Signal Nw4223
NNTN511,Nuneaton Signal 511
NNTN205,Nuneaton Sig Wn4205
NNTNASJ,Ashby Junction
NNTN427,Nuneaton Sig Nl3427
NNTN446,Nuneaton Sig Nl3446
NNTN550,Nuneaton Sig Nl9550
NNTN539,Nuneaton Sig Rn9539
NNTN266,Nuneaton Sig Nl1266
NNTN242,Nuneaton Sig Nw4242
AMNG490,Amington Jn Sig Nl3490
AMNG487,Amington Jn Sig Nl3487
AMNG462,Amington Jn Sig Nl9462
AMNG459,Amington Jn Sig Nl9459
AMNG294,Amington Jn Sig Nl1294
DURSLEY,Cam & Dursley
GLOSTLS,Gloucester Loco Spur
GLOS446,Gloucester Ground Sig 446
GLOS454,Gloucester Ground Sig 454
GLOS444,Gloucester Ground Sig 444
GLOS423,Gloucester Signal 423
GLOSCHS,Gloucester Carriage Sidings
CHLT422,Cheltenham Signal 422
ASHC453,Ashchurch Signal G453
ASHCWTF,Ashchurch War Dept Gf
ASHCGBF,Ashchurch Mod Gbrf
HONYSID,Honeybourne Sidings
HONYHUT,Honeybourne Staff Hut
LNGMGBR,Long Marston Gbrf
HONYNJN,Honeybourne North Jn
EVESWJN,Evesham West Jn
EVESSB,Evesham Signal Box
WORCS54,Worcester Signal 54
WORC34,Worcester Sig Tj34
WORCHER,Worcester Hereford Sidings
WORCS67,Worcester Signal 67
WORCBRD,Worcester Back Road
WORCMSH,Worcs Middle Sdg Headshunt
WORCMSD,Worcester Middle Siding
WORCS52,Worcs Shrub Hill Sig 52
DRTWUGL,Droitwich Up Goods Loop
DRTW68,Droitwich Signal 68
BRMS463,Bromsgrove Sig G463
BRMSUGL,Bromsgrove Up Goods Loop
WTSLNJN,Weights Lane Junction
KNOR523,Kings Norton Sig Sy523
KNOR529,Kings Norton Signal 529
LONB24,Longbridge Signal 24
LONB23,Longbridge Signal 23
KNOR528,Kings Norton Signal Sy528
KNOR528,Kings Norton Signal Sy528
KNOR57,Kings Norton Signal Sy57
KNOR522,Kings Norton Signal Sy522
SMLHGBR,Small Heath Lafarge Gbrf
WDND478,Wood End Signal Tb3478
SOAVPWY,Stratford Upon Avon Parkway
WHLE473,Whitlocks End Sig Tb1473
BHAMMSS,Birmingham Moor St Sdg
TYSLUDJ,Tyseley Up & Down Slow Jn
TYSLSJ,Tyseley South Junction
BRDS732,Bordesley Signal Lj7326
BHAMMS2,Birmingham Moor St Sdgs 2
BHAM190,B'Ham Moor St Sig Wm190
BRDSULP,Bordesley Up Loop
BRDSLSJ,Bordesley South Jn
WSHWGBF,Heartlands Park Wrp Gbrf
STAJN92,St Andrews Jn Sig Sy92
WSHWWRP,Heartlands Park Wrp
WSHWHPK,Washwood Heath Heartlands
CBOMMEB,M E B
CBOMDS,Dunlop
CBOMCS,Castle Cement
HMSHEP2,Hams Hall Nat Distr Pk (Ep2)
HMSHCOL,Hams Hall Ndp Colas
WACRDAL,Whitacre Down Arley Loop
WACRTS,Whitacre Tamper Sidings
DAWMWJ,Daw Mill West Jn
DAWMEJ,Daw Mill East Jn
DAWMGBR,Daw Mill Colliery Gbrf
KNGSBCG,Birch Coppice Gbrf
KNGSBC,Kingsbury Birch Coppice
WICH78,Wichnor Jn Signal Dy78
STRBDG1,Stourbridge Jn (Town Platform)
ROWLUR,Up Rowley Regis Goods Loop
ROWLDGL,Rowley Regis Down Goods
ROODEG,Rood End Goods
WTLNUGL,Up Stour Goods
BRIRLYF,Brierly Hill Flhh
BRIRGBF,Brierley Hill Gbrf
BSCTUDS,Up Dudley Siding
BSCTSPT,Bescot C&D Roads Spoil Tip
BSCTBRS,Bescot Ballast Reclaim Site
PRYBRDG,Perry Barr Down Goods Loop
ASTO65,Aston Signal Ns65
STNPSTR,Streetly Sig Wr5433
BLOX103,Bloxwich Signal 103
RUGL405,Rugeley Sig Rr9405
RUGLGBR,Rugeley Ps (Fgd) Gbrf
LCHTCUR,Curborough Jn
BRWNASG,Anglesea Sidings
LCHTPDC,Lichfield Tv Ll Pdc
LCHT131,Lichfield Signal 1310
LCHT303,Lichfield Tv Sig Ls1303
LCHT259,Lichfield Tv Sig Ls4259
LCHT306,Lichfield Sig Ls1306
HNDSQHG,Handsworth Queens Hd (Gbrf)
HNDS604,Handsworth Shunt Sig 604
HNDSQHD,Handsworth Queens Head Sdg
HNDSQHA,Handsworth Queens Head Afl
WVRM273,Wolverhampton Sig Bw1273
WVRM300,Wolverhampton Sig Ws1300
WVRM294,Wolverhampton Sig Ws1294
WVRMCST,Wolverhampton Crane Street
WVRM118,Wolverhampton Signal 118
COSFTAM,Cosford Tamper Siding
COSFDGL,Cosford Dgl
IRNBGBR,Ironbridge Power Station Gbrf
MADE490,Madeley Junction Sig 490
LTMRJN,Lightmoor Junction
IRNBFLF,Ironbridge P Stn Fastline
DONNGBF,Donnington Rft Gbrf
DONNSUM,Donnington Summerhouse Drv
DONNRFT,Donnington Rft
DONNGTJ,Donnington Jn
PANYPER,Pant-Y-Peron
PWLHE,Pwllheli East
DOVYDPL,Dovey Jnuction Down Loop
WELSWBD,Westbury (Salop) Down
WELSWBU,Westbury (Salop) Up
SHRW34,Sutton Bridge Jn Sig 34
SHRW15,Sutton Bridge Jn Sig 15
COLHACE,Coleham Ce Sidings
SHRWCSS,Shrewsbury Coleham Shelf Sdgs
COTOGBR,Coton Hill Tc Gbrf
GOBOW6,Gobowen Ground Signal Gn6
FRNDXR,Farringdon Crossrail
WHMP617,West Hampstead Signal 617
STPXCTJ,St Pancras Canal Tunnel Jn
STPANCI,St Pancras
STPADOM,St Pancras Intl (Domestic)
STPAMSC,St Pancras Maint Sdg Connexion
YWAYNJN,York Way North Jn
STPAMCS,St Pancras Mntce Sdg
CEDARJN,Cedar Jn
CRKL466,Cricklewood Sig Wh466&455
CRKL590,Cricklewood Signal Wh590
CRKLDBC,Cricklewood Aggregates Dbc
CRKLDNJ,Cricklewood Dep North Con
CRKLREC,Cricklewood North Rec Line
CRKLDPS,Cricklewood South Sidings
CRKLSHN,Cricklewood Rdp Shunt Neck
CRKLNES,Cricklewood Nth End Gbf
CRKLDER,Cricklewood Depot Exit Rd
CRKLRL,Cricklewood Recept Linger
CRKLSCS,Cricklewood Scs (Gbrf)
CRKL539,Cricklewood Signal 539
NEASESG,Neasden Engineers Sdg Gbrf
NEASCGB,Neasden Charrington Gbrf
NEAS25,Neasden South Jn Sig Me25
NEAS34,Neasden South Jn Sig Me34
NEAS327,Neasden South Jn Sig Me327
MARYUPL,Marylebone Up Passenger Loop
NTHOPKJ,Northolt Park Jn
LUTOGBR,Luton Crescent Road (Gbrf)
LUTO575,Luton Signal 575
LUTO614,Luton Signal 614
LMBRDSL,Limbury Road Reversal
LEAG591,Leagrave Shunt Sig 591
LEAGSDG,Leagrave Tamper Sdg
ELSTGBF,Elstow Redlands Gbrf
DALM893,Dalmuir Sig Yy893
FDRS250,Forders Siding Sig Mv250
FDRSGBR,Forders Sidings Gbrf
BEDFDJS,Bedford Jowett Sdgs
BEDF603,Bedford Signal 603
DMBR938,Dumbarton
GLDLGBF,Glen Douglas Mod Gbrf
CRGDWHL,Craigendoran Whl
HLNS643,Helensburgh Signal Yc643
CRGD963,Craigendoran
WLNGBNJ,Wellingborough North Jn
WLNGES,Wellingborough Engineers Sdgs
KETRHBS,Kettering Hot Box Sdg
KETR617,Kettering Sig Lr617
FRTWJTG,Fort William Jn T.C. Gbrf
FRTW33,Fort William Sig 33
FRTWAGB,Fort William Alcan Gbrf
FRTWDCC,Bp Oil (W Hghlnd Oil)
CORBJ15,Corby Sig Mj15
CORB24,Corby Signal Mj24
MRKTHRJ,Market Harborough Jn
MRKSDG,Market Harborough Cce Sdg
LEST327,Leicester Signal 327
LEST325,Leicester Signal Lr325
MANTMJ6,Manton Sig Mj6
MANTSDG,Manton Jn Ace Sdg
MANTMJ7,Manton Jn Sig Mj7
MLTNS54,Melton Mowbray Signal Mn54
MLTNOTM,Melton Mowbray Otm Sdgs
MLTNFBY,Frisby
MLTNS3,Melton Mowbray Shunt Sig 3
MOUNTSL,Mountsorrell Loco Srvcng Road
LOGH675,Loughborough Signal 675
CLIFHGF,Cliffe Hill Gf
BARDHGF,Bardon Hill Ground Frame
MNTLGBR,Mantle Lane Tc Gbrf
MNTLSB,Mantle Lane Sb(Ml)
DRKL128,Drakelow Gpl Dy128
BURT175,Burton Gpl Dy175
BTNUN57,Barton Gpl Dy57
BTNUN56,Barton Gpl Dy56
BURT172,Burton Gpl Dy172
BURT165,Burton Gpl Dy165
BURT163,Burton Gpl Dy163
BURT151,Burton Gpl Dy151
BURT146,Burton Gpl Dy146
BURT141,Burton Gpl Dy141
BURT97,Burton Gpl Dy97
BURHGBJ,Horninglow Bridge Jn
BURTTML,Burton Road And Rail Tml
SCROSB,Scropton S.B(Mcg)
STSN306,Stenson Gpl Dy306
SINFSDG,Sinfin Sdgs (Colas)
DRBYRAM,Rams Line Halt Derby
DRBYTYN,Derby Top Yard Neck
DRBYDOC,Derby North Doc Sidings
DRBYGTS,Derby Gas Tank Sidings
RATCGBR,Ratcliffe Ps Gbrf
RATCGYP,Ratcliffe Ps Gypsum Gbrf
RATCCLR,Ratcliffe Pst (Colas Rail)
TRENSD,Trent Sidings
TOTOGBR,Toton North Yard Gbrf
TOTOFHH,Toton Centre Fhh
TOTON04,Toton Signal 4604
STNTFHH,Stanton Gate Flhh
ILKES,Ilkeston
KRBYSUM,Kirkby Summit R S
BWELDBS,Blackwell (Db Schenker)
BWEL727,Blackwell Sig 4727
BWEL726,Blackwell Sig 4726
BWELFHH,Blackwell Fhh
RECTTCR,Rectory Jn (Colwick Colas)
NTHR419,Netherfield Gpl 419
RUDDGCR,Ruddington Gt Central Railway
BEST931,Beeston Sig Tn4931
BESTGBR,Beeston Sims Metals Gbrf
NWSTLP,Newstead Loop
KNGX303,Belle Isle Signal 303
FNPK68,Finsbury Park Sig K68
FNPK392,Finsbury Park Sig K392
FNPK407,Finsbury Park Signal 407
HRGY422,Harringay Sig K422
FRMPGBR,Ferme Park London Conc Gbr
FRMPKLC,Ferme Park London Concrete
POTR141,Potters Bar Signal K141
WLWY622,Welwyn Gdn City Sig K622
HITC945,Hitchin East Jn Sig K945
HITC941,Hitchin East Jn Sig K941
MOLEJN,Molewood Junction
BRAGJN,Bragbury Junction
HITC666,Hitchin Signal K666
WLMR630,Woolmer Green Sig K630
KNEB639,Knebworth Signal K639
HITC672,Hitchin Signal K672
LAGYGBF,Langley Redlands Gbrf
STEV656,Stevenage Up Fast Sig 656
HITC689,Hitchin Signal K689
HITCGBR,Hitchin Up Yard Gbrf
PUDGMLL,Pudding Mill Lane Portal
LIVSTLL,Liverpool St Crossrail
BTHNLGE,Bethnal Green East Junction
LIVSTBL,Liverpool St*London Ballast
BOWDGBR,Bow Depot Gbrf
BOWDOLE,Bow East Flhh (Olympics)
BOWDOLY,Bow East (Db Cargo)
CUSTEBT,Custom House East
BROMBLT,Bromley-By-Bow Lt
WHAMLT,West Ham Lt
STFD295,Stratford Signal L295
STFD249,Stratford Sig L249
STFORDI,Stratford Intl
STFODOM,Stratford International
HMEADSJ,High Meads Junction
CHNELUL,Channelsea Up Loop
CANWHRF,Canary Wharf Xrail
TMPLRRJ,Ruckholt Road Junction
SPNYGNJ,Stepney Green Junction
TMPLOCS,Orient Way Cs
TMPLMFL,Temple Mills Loop (Fl)
TMPLMLP,Temple Mills Loop
TMPLORR,Orient Way Reception Road
WAPPING,Wapping
SHADWEL,Shadwell
WCHAVRD,Valence Road
SHADXO,Shadwell Crossover
WCHAPXR,Whitechapel Crossrail
WCHAPEL,Whitechapel
SHRDHST,Shoreditch High Street
HAGGXO,Haggerston Crossover
DALS,Dalston Junction
HIGH238,Highbury Signal 1238
HIGHTRT,Highbury Transfer Tr Ac-Dc
HIGHBYE,Highbury And Islington Ell
HIGH321,Highbury Signal Ell 321
CNNBELL,Canonbury Ell
LEAJ286,Lea Junction Loop Sig 1286
ENFL531,Enfield Town Signal L5531
BROXGBF,Broxbourne Dn Tamp Sdg Gbf
STOTS17,South Tottenham Sig S17
STOTS19,South Tottenham Sig S19
STOTS16,South Tottenham Sig S16
BARKNGJ,Barking Station Junction
RPLANEG,Ripple Lane Exch Sdgs Gbrf
RPLLGBF,Ripple Lane F.L.T. (Gbrf)
RPLLDBS,Ripple Lane Flt (Dbc)
RPLLEP2,Ripple Lane Yd Barking Ep2
RPLLFDR,Ripple Lane Flt (Drs)
RPLLEUR,Barking Eurohub (Dbc)
RPLL806,Ripple Lane Signal 806
RPLLWYD,Ripple Lane West Yard
DGNHDRG,Dagenham Dock Recp Gbrf
WENGTNX,Wennington Crossovers
PRFLGBR,Purfleet Fy Gbr
PURF176,Purfleet Ls Signal Ur1176
WNCB947,Winchburgh Jn Signal Ew947
BONSXSG,Bo'Ness Exchange Sdgs Gbrf
BONSGBF,Bo'Ness Gbrf
LNLT951,Linlithgow El 951
TLBYPDR,Tilbury I.R.F.T (Drs)
TLBYADV,Tilbury I.R.F.T. Colas
TLBYRSC,Tilbury Riverside (Colas)
THMSL14,Thames Haven Sig Lg14
THMSLGD,London Gateway Dep Line Jn
THMSL11,London Gateway Port Sig Lg11
THMSFLI,London Gateway Port Line 2
THMSDBS,London Gateway Port Ln1
THMSLGA,London Gateway Port Arrival
THMSL15,Thameshaven Branch Stop Board
THMS888,Thameshaven Sig Ur888
THMS882,Thameshaven Sig Ur882
THMSLGB,London Gateway Gbrf
SHBRGBF,Shoeburyness Mod Gbrf
GRNGCLR,Grangemouth Colas Rail
GRNGBPC,Bp Grangemouth (Colas)
GRNGMCR,Grangemouth Oil Colas
GRNGMDR,Grangemouth Tdg Sdg (Drs)
CHDWHTT,Chadwell Heath Turnback
ROMF107,Romford Signal L5107
ROMF450,Romford Signal L450
SHEN140,Shenfield Signal L5140
GIDE125,Gidea Park Signal L5125
SHEN538,Shenfield Signal L538
SHEN528,Shenfield Signal L528
GNHLBGL,Greenhill Upper Bdgl
GNHL428,Greenhill Signal Gj428
GNHL347,Greenhill Signal Gj347
CHLMGBF,Chelmsford Recp Gbrf
WITHSDG,Witham Up Tamper Sdg
MRKS872,Marks Tey Signal L872
MRKSFHH,Marks Tey Flhh
CLCH750,Colchester Signal 750
CLCHFL,Colchester Dgl (Fl)
CLCHREC,Colchester Reception Line
CLCH011,Colchester Signal Co1011
CLCH013,Colchester Signal Co4013
CLCH072,Colchester Signal Co1072
CLCH033,Colchester Signal Co1033
PRKSGBR,Parkeston Ss Gbrf
PRKS245,Parkeston Sig P245
PRKSNFL,Parkeston New Yard Fl
PRKSCRV,Parkeston Carless Crv Hsht
PRKSCLH,Parkeston Carless Ref Hsht
MANNGDS,Manningtree Down Siding
IPSW335,Ipswich Signal Co335
IPSW333,Ipswich Signal Co333
IPSW352,Ipswich Signal Co352
IPSW351,Ipswich Signal Co351
IPSWSN1,Ipswich Shunt Neck 1
IPSW295,Ipswich Signal Co295
IPSW297,Ipswich Signal Co297
IPSW832,Ipswich Signal Co832
IPSW830,Ipswich Signal Co830
IPSW820,Ipswich Signal Co820
IPSWFLD,Ipswich Field Sidings
IPSW326,Ipswich Signal Co326
IPSWRFL,Ipswich Reception Flr
IPSW822,Ipswich Signal Co.822
FLXSCFL,Felixstowe Central Frtlner
FLXSCDB,Felixstowe Central Dbc
FLXSCGB,Felixstowe Central Gbrf
FLXSOYS,Felixstowe Oysterbed Roads
FLXSNRP,Flixstwe Nth Docks Rp Gbrf
DERB622,Levington Signal Co622
TRIM617,Levington Signal Co617
TRIM619,Trimley Signal Co619
FLXSSRP,Flixstwe Sth Docks Rp Gbrf
FLXS634,Felixstowe Signal Co634
FLXSNQ4,Felixstowe Signal Nq4
FLXSNQ2,Felixstowe Signal Nq2
HALSLBD,Halesworth Stn Limits Bd
OXWLCLR,Oxwellmains Lafarge Colas Rail
OXWLSUF,Oxwellmains Up Sidinig C&W
